Contig index,The number of restriction sites,Contig length,Contig coverage
contig_22088,684,95766,197
contig_22092,486,76306,16
contig_22094,557,51988,27
contig_22102,251,35399,4618
contig_22103,6627,964388,69
contig_22104,205,35435,35
contig_22105,373,32047,63911
contig_22107,32430,2887455,449
contig_22112,814,150798,3035
contig_22114,6068,518084,384
contig_22116,1212,140759,5
contig_22123,168,17243,26
contig_22124,255,25450,1625
contig_22133,7452,642936,24
contig_22139,619,45897,124
contig_22156,178,27614,94
contig_22161,476,47760,9
contig_22162,697,82722,583
contig_22166,1210,236215,12634
contig_22167,964,187428,29
contig_22169,301,34881,438
contig_2217,3480,230557,79
contig_22172,177,24553,3386
contig_22176,3127,441495,657
contig_22177,2695,381869,80
contig_22181,366,53220,29
contig_22186,1328,266772,41
contig_22209,339,50219,1195
contig_22222,9520,985059,99
contig_22223,151,19938,20
contig_22224,57,13017,99
contig_22225,1016,114096,6245
contig_22226,104,12104,473
contig_22231,1158,128298,57
contig_22232,640,71574,97
contig_22233,550,63917,1173
contig_22235,1795,148036,43
contig_22239,644,61095,86
contig_22240,1078,148187,17
contig_22241,964,117854,104
contig_22244,953,101284,180
contig_22256,269,78199,470
contig_22257,514,97210,12
contig_22258,143,9471,1
contig_22259,103,5738,119
contig_22260,420,25964,35
contig_22261,342,21877,76
contig_22262,82,5497,87
contig_22264,784,52747,25
contig_22266,132,9042,21
contig_22268,106,6395,8
contig_22269,79,6107,1199
contig_22272,8968,1022580,1266
contig_22279,17940,1240765,3
contig_22282,1492,86710,26
contig_22283,432,41390,127
contig_22295,897,83495,71
contig_22301,346,34458,341
contig_22303,5831,577239,52
contig_22322,414,97439,27
contig_22325,499,55268,3767
contig_22332,22583,1153580,302
contig_22334,3485,485119,86
contig_22335,339,78318,70
contig_22337,935,108375,47
contig_22342,1225,135868,57
contig_22349,485,62705,57
contig_22352,194,24802,1967
contig_22357,3560,493656,74
contig_22360,222,26936,310
contig_22364,1114,207910,43
contig_22366,307,32519,292
contig_22368,1075,138592,94
contig_22369,490,83426,112
contig_22370,817,91931,41
contig_22372,288,43213,189
contig_22382,572,93021,67
contig_22389,2476,353182,25
contig_22395,76,35852,11
contig_22398,178,18832,2468
contig_224,3729,501973,116
contig_22400,2048,320775,19
contig_22406,185,27835,1484
contig_22407,234,48121,14
contig_22408,60,22638,21
contig_22409,1096,132500,827
contig_22411,3875,389945,1147
contig_22415,1982,273312,104
contig_22416,840,87353,4451
contig_22417,1878,391016,139
contig_22420,225,59895,25
contig_22421,300,30430,439
contig_22423,1909,232729,244
contig_22425,2222,299715,7
contig_22430,223,24710,25
contig_22431,178,22692,348
contig_22435,6866,616336,70
contig_22438,1473,133626,39
contig_22447,544,51081,1217
contig_2245,7351,724384,14
contig_22452,122,15643,438
contig_22457,1400,154408,6113
contig_2246,15562,1565973,5
contig_22461,273,37242,17
contig_22467,197,37979,11
contig_22468,235,29690,69
contig_22469,592,81661,22
contig_22470,139,20867,150
contig_22473,107,18837,12
contig_22475,263,35285,224
contig_22477,1637,234094,4
contig_22481,171,26631,528
contig_22484,405,64345,18636
contig_22485,21177,3015505,745
contig_22486,635,102673,18
contig_22487,217,33299,5
contig_22488,250,32169,19
contig_22489,374,51758,34
contig_22490,182,24736,15
contig_22491,217,34869,12
contig_22494,171,24194,7
contig_22495,327,47463,35
contig_22498,594,80115,121
contig_22499,484,70312,84
contig_225,1126,105496,71
contig_2250,547,47921,45
contig_22500,522,76195,2412
contig_22501,2723,381654,51
contig_22502,483,62467,14
contig_22503,147,18624,56
contig_22504,854,123440,5
contig_22506,195,24082,7739
contig_22507,5494,776857,26
contig_22508,153,20697,92
contig_22510,269,41803,4
contig_22512,324,44569,50
contig_22515,333,46853,86
contig_22518,143,19858,36
contig_22520,617,99821,55
contig_22521,55,15775,115
contig_22522,88,19769,169
contig_22529,957,131397,92
contig_22536,278,108859,197
contig_22537,149,47241,35
contig_22538,169,60061,201
contig_22541,54,18288,205
contig_22544,2220,125878,8
contig_22545,361,21026,117
contig_22549,583,77895,33
contig_22557,333,27712,17
contig_22561,741,36448,34
contig_22563,208,27325,2041
contig_22564,1141,136164,29
contig_22565,550,62723,14
contig_22567,169,20692,3
contig_22569,205,20955,333372
contig_22573,25292,5051113,195
contig_22577,1036,125566,1175
contig_22581,1451,231617,83
contig_22582,158,18159,666
contig_22583,658,42438,54
contig_22585,360,43270,70
contig_22589,401,38117,109
contig_22591,382,37390,61
contig_22595,616,59833,1219
contig_226,6037,713998,1
contig_22601,388,25143,64
contig_22604,630,69557,3
contig_22607,18,2032,29
contig_22624,411,59106,244
contig_22625,305,39175,7426
contig_2263,12566,1554960,638
contig_22632,9828,1097866,85
contig_22637,306,17496,412
contig_22648,606,83865,272
contig_22654,1505,134946,179
contig_22655,1030,156218,463
contig_22667,1322,210139,119
contig_22672,801,88806,354
contig_22683,1269,123744,233
contig_22684,1071,94568,80
contig_22686,567,76298,689
contig_22687,438,54999,1
contig_22688,272,39819,634
contig_22689,689,111159,343
contig_22697,591,34957,285
contig_22698,304,67025,208
contig_22699,702,97002,440
contig_22704,1460,402577,466
contig_22707,841,81885,396
contig_22708,906,91481,240
contig_22716,1086,99549,13
contig_22725,528,40525,11
contig_2273,323,35099,74
contig_22731,201,49841,11705
contig_2274,11004,1287040,20
contig_2275,209,53957,52
contig_22755,808,143574,243
contig_22766,963,111061,123
contig_22768,794,74462,3843
contig_22772,12480,1139322,1183
contig_22775,2907,341122,1963
contig_22781,1146,238087,24
contig_22785,527,27176,112
contig_22801,197,32916,888
contig_22809,1038,238831,22
contig_22811,36,8277,50
contig_22812,275,28777,15600
contig_22816,12,9216,1541
contig_2283,9890,982901,992
contig_22831,7355,725105,23
contig_2284,115,19211,31
contig_22847,176,27597,122379
contig_2285,24502,3551404,34
contig_22862,600,72613,219
contig_22863,742,103432,93
contig_22864,415,72226,223
contig_22865,710,66416,152
contig_2287,222,67836,56027
contig_2288,8551,2634364,17
contig_22882,85,10899,62
contig_22883,404,25348,23
contig_22888,339,46604,241
contig_2289,1504,156291,92
contig_22892,800,92473,395
contig_22894,474,50348,19
contig_22895,275,17617,51
contig_22898,1801,149173,979
contig_229,3014,258253,82
contig_22903,948,100283,113
contig_22904,493,65545,34283
contig_22909,26560,2712690,11
contig_22911,94,12323,141
contig_22913,168,16969,127
contig_22914,410,44217,1249
contig_22915,4351,380135,121
contig_22918,299,33951,126
contig_22924,1489,151270,94
contig_22927,587,59345,24
contig_22929,244,38799,111
contig_22932,840,78321,377
contig_22933,427,58199,52
contig_22952,792,83314,438
contig_22954,795,102811,460
contig_22955,4304,399127,68
contig_22956,72,22646,144
contig_22957,261,21722,179
contig_22958,675,65559,115
contig_22963,206,51008,982
contig_22969,3744,307359,112
contig_22976,309,33625,1077
contig_22978,4849,462757,1388
contig_22982,298,19267,325
contig_22993,1666,231372,326
contig_22994,549,57555,71
contig_23,545,61024,53
contig_23003,444,64350,21
contig_23005,452,52343,133
contig_23007,460,75558,16
contig_23008,328,32841,61
contig_23012,754,98720,28
contig_23016,189,30922,103
contig_23028,551,66586,2683
contig_2303,20712,1434619,1862
contig_23041,1894,233988,34
contig_23053,104,13248,77
contig_23059,642,61349,18
contig_23071,306,30191,1408
contig_23073,4341,504469,87
contig_23074,1094,172198,429
contig_23075,1582,237847,79
contig_23084,214,18973,10
contig_23086,60,9054,11
contig_23087,81,11191,12
contig_23100,48,6211,307
contig_23101,590,74054,1679
contig_23104,607,38442,42
contig_23114,103,11925,168
contig_23115,829,91629,13
contig_23121,383,33882,1764
contig_23122,11918,1150366,297
contig_23125,561,123359,1
contig_2313,117,8444,122
contig_23130,339,55976,28
contig_23132,816,37914,31
contig_23133,805,42319,135
contig_23136,386,54113,714
contig_23138,1159,158794,111
contig_23146,969,66138,18126
contig_2315,22743,1149205,363
contig_23158,3304,409951,33
contig_23162,159,19751,58
contig_23168,162,29170,314
contig_23169,2205,204333,170
contig_23171,246,30553,49
contig_23181,137,26544,330
contig_23182,330,38759,135
contig_23183,303,72928,83
contig_23184,225,43633,1271
contig_23185,3638,452259,34
contig_23189,346,45522,8
contig_23192,886,100826,77
contig_23193,232,29271,161
contig_23194,653,84748,100
contig_23197,1451,139782,46
contig_2320,421,24922,51
contig_23205,321,36438,157
contig_23210,1124,168742,210
contig_23211,263,19737,6721
contig_23213,234,14583,181
contig_23214,997,143312,111
contig_23215,580,80364,5
contig_23220,132,25720,89
contig_23222,823,87139,34
contig_23229,61,15396,6265
contig_2323,25298,1244406,2947
contig_23234,22597,1385564,4
contig_23235,918,57695,24
contig_23236,1017,55824,12
contig_23237,1253,67411,7
contig_23239,350,18065,1
contig_23243,56,3920,628
contig_2325,836,100832,66
contig_23251,307,40151,35
contig_23257,126,11008,5
contig_23258,128,11552,1164
contig_23261,740,100641,2009
contig_23267,88,23124,294
contig_23268,1861,172620,17
contig_23275,337,43269,15
contig_23277,425,31304,14
contig_23279,248,36194,95
contig_23284,1412,193858,47
contig_23289,566,82520,277
contig_23290,756,105216,226
contig_23294,1157,134435,147
contig_23295,1166,96601,177
contig_233,647,74862,112
contig_2330,151,55953,77
contig_23306,1748,188658,474
contig_23307,2336,246274,43
contig_23308,935,102288,379
contig_2331,310,82584,72
contig_23310,1837,113316,615
contig_23312,1412,238057,125
contig_2332,497,65949,154
contig_23321,612,81269,59328
contig_23330,14851,1881644,129
contig_23333,481,77238,201
contig_23334,895,123141,311
contig_23339,3480,379174,17
contig_23343,1238,65480,489
contig_23346,271,21757,41885
contig_23349,1244,158581,421
contig_2335,5277,706429,36
contig_23357,324,36195,32
contig_23368,381,50507,11
contig_23369,81,13933,62
contig_23372,281,36413,36
contig_23374,1227,130451,510
contig_23379,937,190616,33
contig_23381,71,19684,5392
contig_23391,2498,330375,251
contig_23395,309,41219,99
contig_23396,1101,121773,64
contig_23397,422,51029,501
contig_23399,4415,431962,29
contig_23400,164,21530,22
contig_23407,854,132686,377
contig_23414,4009,204926,450
contig_23415,1756,204161,17
contig_23416,167,20417,7
contig_23417,143,11379,1381
contig_23418,2283,139897,45
contig_23419,1079,93589,648
contig_23420,327,20449,121
contig_23426,5412,497531,2423
contig_23432,1915,199313,2143
contig_23434,9587,903188,3
contig_23442,228,27712,1315
contig_23447,971,73346,629
contig_23448,1037,76289,112
contig_23456,907,65077,25
contig_23465,77,12428,963
contig_23467,958,118294,23
contig_23468,344,55320,1525006
contig_23470,9250,2448374,8
contig_23471,14,2860,26
contig_23480,202,49717,54
contig_23482,262,33452,623
contig_23486,3446,353032,54
contig_23492,303,36492,153
contig_23493,579,80993,19
contig_23496,442,44478,1320
contig_23500,3061,245583,264
contig_23501,2405,221251,413
contig_23512,2363,331572,137
contig_2352,929,143383,61
contig_23524,125,5085,17
contig_23526,35,1642,78
contig_2353,2039,349304,35
contig_23533,200,33978,31
contig_23537,1041,108360,388
contig_23538,1209,92409,302
contig_23539,1876,147626,167
contig_2354,166,44792,103
contig_23541,322,43027,716
contig_23543,2184,277104,175
contig_23545,1211,125276,46
contig_23555,312,49199,2503
contig_23568,3696,794669,215
contig_23572,703,62617,192
contig_23579,3200,354430,20
contig_2358,780,91292,73
contig_23580,2761,323371,52
contig_23581,369,47129,105
contig_23587,251,35245,98
contig_23591,791,70291,47
contig_23599,463,54014,68
contig_23600,934,86194,126
contig_23602,907,71083,206
contig_23623,555,66861,2120
contig_23627,22326,1301975,292
contig_2363,1699,204578,111
contig_23632,389,61032,49
contig_23633,580,47497,168
contig_23648,1127,143252,553
contig_23650,1685,161999,1145
contig_23652,52,16862,18431
contig_23654,81,39189,173
contig_23655,113,46768,47
contig_23656,217,60853,493
contig_23657,766,202511,44
contig_23658,59,9873,28
contig_23659,69,16141,368
contig_23660,295,79664,1056
contig_23663,282,75644,88
contig_23664,97,21329,86
contig_23673,2115,111729,28
contig_23684,1392,114686,4
contig_23685,113,14005,77
contig_23691,276,45844,10
contig_23693,184,31187,337
contig_23694,894,135696,134
contig_23696,541,72942,3637
contig_23698,2676,630958,321
contig_23702,1106,181190,179
contig_23703,808,123218,15
contig_23708,66,8055,2
contig_23710,73,4208,138
contig_23716,349,54760,20
contig_23718,283,62092,39
contig_23722,162,17809,37
contig_23724,113,10816,1024
contig_23725,2339,259857,3
contig_23726,256,26348,1541
contig_23728,1724,158580,469
contig_2373,1685,197320,32
contig_23730,409,34326,124
contig_23731,451,39403,14
contig_23733,247,31689,12
contig_23734,431,49475,30
contig_23738,125,16715,321
contig_2375,563,91926,295
contig_23750,980,162039,31
contig_23753,818,67580,3
contig_23759,252,34216,76
contig_23768,270,39543,1415
contig_23771,401,43887,13
contig_23772,172,51844,27
contig_23778,430,100561,54
contig_23785,475,77260,442
contig_238,1698,213587,72
contig_23800,660,97729,468
contig_23804,345,39396,153643
contig_23807,15296,2153447,1471
contig_23808,2812,278262,25483
contig_23809,12179,1443028,318
contig_23810,1063,81159,115
contig_23822,262,54458,60
contig_23824,217,26905,187
contig_23825,560,60376,56
contig_23827,706,76417,15
contig_23828,70,12381,674
contig_23830,366,55364,225
contig_23833,1588,140202,2228
contig_23835,8698,769715,307
contig_2384,1991,222374,154
contig_23848,798,93056,1522
contig_23855,645,107638,104
contig_23861,211,32490,23
contig_23865,582,64683,78
contig_23869,1138,200549,11
contig_23883,318,15742,2259
contig_239,16120,1563928,649
contig_23900,2186,280914,75
contig_23906,1721,105279,371
contig_23908,1586,105041,321
contig_23910,5918,343794,309
contig_23914,1602,97859,1210
contig_23922,186,19477,211
contig_23938,838,132253,389
contig_23939,670,99754,187
contig_23941,563,69304,412
contig_23945,1561,196008,1904
contig_23948,2690,330337,347
contig_23951,525,67004,66
contig_23953,282,59197,22
contig_23961,270,44538,622
contig_23972,1575,214591,8
contig_23986,128,13308,43
contig_23987,271,36876,61
contig_23990,621,121227,921
contig_23991,3210,306675,17063
contig_24,19226,2163287,217
contig_2402,1129,141524,12
contig_24027,937,47238,101
contig_24039,175,27347,33
contig_2404,152,18386,47
contig_24040,153,21113,10
contig_24046,192,68040,8
contig_24048,157,17637,56
contig_24051,187,34836,17
contig_24054,505,51427,129
contig_24066,786,74095,106
contig_24071,485,72339,80
contig_24072,388,46358,128
contig_24073,928,112637,28
contig_24075,210,36804,3738
contig_24076,795,73964,14
contig_24093,761,48151,744
contig_24097,2070,192734,78
contig_24100,676,131447,1563
contig_24102,278,40856,44
contig_24109,547,65034,116
contig_24110,341,106680,4
contig_24113,32,8576,2
contig_24116,210,13130,2831
contig_2412,5647,620603,1823
contig_24120,1347,241635,26
contig_24121,118,23984,1276
contig_24123,7043,715503,122
contig_24126,571,56891,192
contig_24127,4782,485643,948
contig_2413,1504,155863,3095
contig_2414,2170,334082,71
contig_24140,188,18749,1839
contig_24142,430,62971,116
contig_24145,656,77672,262
contig_24146,2665,211523,33
contig_24148,189,17105,4162
contig_2415,4409,539346,170
contig_24151,533,55974,13419
contig_24157,273,64466,725
contig_24164,732,51050,140
contig_24165,238,21387,308
contig_24166,1075,119041,216
contig_2419,1204,90250,194
contig_2420,959,64526,171
contig_24206,186,25391,1719
contig_24207,3504,373531,10415
contig_24211,147,35644,78
contig_24212,133,26098,148
contig_24213,105,24561,336
contig_24217,657,73070,879
contig_24221,2666,319736,177
contig_2423,1558,105725,3
contig_2424,154,9431,7
contig_24244,538,29045,431
contig_24247,4332,352374,97
contig_24252,428,55422,42
contig_24255,165,18015,141
contig_24257,1220,171601,126
contig_24259,864,49753,1491
contig_24262,4880,641441,125
contig_24273,326,35617,60
contig_24274,348,44797,35
contig_24277,884,47941,8190
contig_2428,5577,820312,93
contig_24281,5534,277256,118
contig_24289,346,43631,52
contig_24299,329,39435,237
contig_243,1042,132859,21
contig_24300,163,15807,5
contig_24304,176,16018,23
contig_24309,233,21937,1208
contig_2431,3354,555882,50
contig_24310,311,28187,24
contig_24315,129,18215,46
contig_24318,85,13836,409
contig_2432,1221,200894,99
contig_24323,196,17511,195
contig_24324,3692,425551,70
contig_24325,1505,156711,8
contig_24327,538,60139,55
contig_24328,409,44032,386
contig_24330,175,27382,199
contig_24336,583,70622,537
contig_24337,2758,287322,4
contig_24347,664,36008,1265
contig_2435,3757,621562,162
contig_24352,484,52619,122
contig_24359,1887,100600,1640
contig_24369,1749,197444,29
contig_24370,331,48094,1962
contig_24374,1665,172805,57
contig_24377,167,19790,170
contig_24380,302,87905,26
contig_24387,164,20084,78
contig_24390,251,29979,219
contig_24395,629,70781,311
contig_244,347,39882,139
contig_24404,363,42561,12
contig_24407,78,16195,89
contig_24408,751,66435,48
contig_24414,182,23708,20
contig_24416,209,20550,1471
contig_24418,556,79725,1875
contig_24425,1019,172984,8
contig_24432,33,5335,13
contig_24435,14,3200,116
contig_2444,4935,447993,398
contig_24440,3688,414399,64
contig_24452,179,24170,44
contig_24453,99,11565,73
contig_24459,199,46978,73
contig_24466,484,69167,394
contig_24469,851,123687,76
contig_24476,971,124034,1514
contig_24478,2166,253271,161
contig_2448,1447,149598,374
contig_24487,488,30260,56
contig_24510,530,50458,219
contig_24511,1314,137458,34
contig_24512,360,50426,382
contig_24524,1204,151718,691
contig_24527,2818,513180,890
contig_24529,46,13272,782
contig_2453,1845,95898,16
contig_24531,37,4060,340
contig_24536,221,21739,21
contig_24543,133,16176,1557
contig_24548,2824,359461,84
contig_2455,1179,65932,1556
contig_24551,2776,382554,178
contig_24553,3389,368669,465
contig_24554,711,126497,53
contig_2456,1263,70390,140
contig_24563,980,83067,99
contig_24566,277,42656,542
contig_24567,1390,197346,7
contig_24568,465,58885,68
contig_2457,860,42973,32
contig_24573,105,8168,63
contig_24579,252,38284,62
contig_24582,285,41077,40
contig_24583,250,38147,118
contig_24584,774,76732,47
contig_2459,379,38328,329
contig_24591,2889,238943,5882
contig_24599,1483,179337,684
contig_246,2474,360544,299
contig_24600,186,11642,119
contig_24609,138,34607,84
contig_24617,2730,284137,22
contig_24621,342,43287,3054
contig_24625,6109,1646376,53
contig_24628,461,60606,28
contig_24631,330,44186,8
contig_24632,330,43709,5
contig_24633,77,9295,249
contig_24637,205,29469,172
contig_24643,869,209835,167
contig_24644,1197,123013,165
contig_24648,461,71777,102
contig_24649,1798,172080,1145
contig_24651,1081,128004,1
contig_24653,122,12785,41
contig_24658,180,57740,55
contig_24660,160,44121,15
contig_24662,152,38645,58
contig_24664,317,87394,3
contig_24666,130,47908,216
contig_24667,354,119657,23
contig_24670,127,47174,158
contig_24673,85,24231,33910
contig_24674,1824,598265,129
contig_24675,225,54559,62
contig_24678,585,53854,64
contig_24680,704,57832,429
contig_24683,901,177346,327
contig_24690,11911,608748,108
contig_24691,5663,279264,24
contig_24692,66,5617,1635
contig_24696,1945,209163,241
contig_2470,1015,109234,60
contig_24703,440,62949,1
contig_24704,227,32847,82
contig_24706,343,54134,313
contig_24708,1299,156535,149
contig_24711,964,100944,70
contig_24712,598,139323,19
contig_24724,297,34213,311
contig_24726,3410,340957,4330
contig_24727,13713,1427905,90693
contig_2473,23837,2643236,39
contig_24735,1216,66459,207
contig_24743,550,65760,91
contig_24746,1173,81139,729
contig_2475,1631,271533,123
contig_24750,437,61282,125
contig_24751,779,81823,947
contig_24753,259,21292,196
contig_24754,1459,224048,76
contig_2476,900,183712,698
contig_2477,1145,193974,3
contig_24771,921,95117,28
contig_24775,292,41432,504
contig_24777,4680,329553,217
contig_24784,416,35726,13
contig_24787,315,23024,19
contig_24789,27,4540,2493
contig_24790,2930,336604,742
contig_24791,1354,147462,962
contig_24794,473,56206,349
contig_24796,708,81232,1196
contig_24797,1086,113521,149
contig_24800,678,77134,149
contig_24804,723,74347,265
contig_24813,2185,209372,612
contig_24815,1717,177411,332
contig_24817,1955,193517,541
contig_24820,2035,197744,149
contig_24821,1901,178706,116
contig_24823,1834,171432,9
contig_24824,568,61271,118
contig_24827,310,36424,107
contig_24839,1145,86947,435
contig_24840,2096,231579,159
contig_24841,1219,120533,45
contig_24842,968,93591,44
contig_24844,160,16189,199
contig_24846,471,51125,240
contig_24866,1395,133188,113
contig_24867,1524,166117,612
contig_24878,2483,295766,40
contig_24882,2114,104250,37
contig_24887,353,51529,741
contig_24894,1157,86168,253
contig_24895,836,55713,10795
contig_24912,5701,790154,565
contig_24914,2363,274051,713
contig_24915,917,169820,15401
contig_24918,9820,1313161,442
contig_24925,847,144231,72
contig_24931,928,75131,100
contig_24936,220,56031,115
contig_24946,104,19566,320
contig_24948,396,62931,126
contig_2495,400,40240,2037
contig_24951,2646,350331,295
contig_24954,1252,166331,73
contig_24957,99,23229,141
contig_24968,643,86424,39
contig_24971,249,30097,182563
contig_24972,13163,2433905,200
contig_24976,463,66398,57
contig_24978,187,27283,56
contig_24981,3229,354510,165
contig_24982,1579,182520,108
contig_24984,3147,362464,1683
contig_2499,6301,1098985,302
contig_24999,2527,318792,25
contig_25017,46,4068,69
contig_25028,158,17202,15
contig_25030,225,26160,147
contig_25039,309,50421,122
contig_25040,340,49146,206
contig_25042,862,132549,3651
contig_25044,13841,1296540,28
contig_25046,671,60081,48
contig_25048,191,22539,3824
contig_25061,1355,84137,7084
contig_25082,8184,1187219,63
contig_25083,734,124907,135
contig_25084,726,71383,41674
contig_25089,11079,783060,225
contig_25093,60,18940,121
contig_25095,602,85040,105
contig_25102,849,82582,43
contig_25120,234,31346,274
contig_25122,2787,439306,142
contig_25129,8163,445878,64
contig_25136,309,16103,97
contig_25137,507,52945,216
contig_25148,580,110793,14082
contig_25154,23565,2441733,68
contig_25160,281,40004,99
contig_25185,849,152968,595
contig_25206,1797,228359,17
contig_25212,639,84991,57
contig_25218,1007,76582,715
contig_25219,3023,290553,324
contig_25225,2855,478177,110
contig_25229,429,44230,10
contig_2523,376,73904,287
contig_25235,651,95613,1160
contig_25236,55,18173,125
contig_25237,509,128275,2220
contig_25241,2241,617613,134
contig_25248,578,82905,1948
contig_25249,2554,440554,427
contig_25250,1005,169911,39
contig_25251,219,39550,127
contig_25252,698,130380,897
contig_25253,1710,321557,140
contig_25256,1186,119895,62
contig_25257,2557,127302,1311
contig_25268,270,36696,233
contig_25269,1171,187133,2817
contig_25270,2553,342754,1138
contig_25271,2618,347778,2830
contig_25272,5958,799030,7315
contig_25273,5793,786782,1768
contig_25277,2097,297752,376
contig_25279,243,30946,786
contig_25284,1973,282590,802
contig_25285,1398,208647,116
contig_25295,622,90221,2611
contig_25298,821,116850,12
contig_25300,208,34232,146
contig_25301,645,83393,2842
contig_25303,8819,1286244,90
contig_25306,354,95790,9
contig_25313,589,35568,191
contig_25319,577,78493,26
contig_25320,71,10226,127
contig_25323,359,57078,145
contig_25325,1993,202362,89
contig_25326,600,48405,1
contig_25327,124,16513,9943
contig_25335,20053,2841048,1035
contig_25339,1107,96675,222
contig_25340,1171,148003,11
contig_25355,1868,135091,363
contig_25357,15095,855744,1485
contig_25365,3903,273825,573
contig_25367,1490,118184,105
contig_25372,347,37245,947
contig_25373,883,71127,372
contig_25385,1822,142555,72
contig_25389,1687,172222,61
contig_25394,418,58971,54
contig_25397,377,49532,85524
contig_25401,2936,364495,87
contig_25409,202,61939,5
contig_25415,646,61880,530
contig_25416,3687,323395,46
contig_25420,196,22489,71
contig_25421,411,51006,34
contig_25426,379,41380,55
contig_25429,398,49393,118
contig_25431,640,61191,46
contig_25432,251,35291,28
contig_25433,272,30346,134
contig_25435,894,83463,288
contig_25449,1153,159043,192
contig_25460,566,85198,1286
contig_25468,1936,232667,1011
contig_25472,516,60682,19
contig_25473,184,28499,1330
contig_25474,68,18734,688
contig_25481,432,49652,1356
contig_25482,327,47908,337
contig_25484,2386,249360,57
contig_25492,1198,113577,57
contig_25506,1579,162702,53
contig_25514,1060,59085,340
contig_25515,700,82125,57
contig_25516,106,22203,86
contig_25517,256,24241,70
contig_25527,249,52532,139
contig_25529,2458,232503,33
contig_2553,1271,235348,26
contig_25531,164,30612,44
contig_25534,66,9065,576
contig_25537,8270,865063,107
contig_25538,599,62381,353
contig_2554,958,172752,1359
contig_25542,1020,119192,97
contig_25550,369,64046,57
contig_25555,126,23056,504
contig_25560,437,41438,2611
contig_25570,1638,259417,13
contig_25575,16,1450,34855
contig_25576,1387,132289,192
contig_25581,588,65543,94
contig_25590,809,86184,18
contig_25592,314,46825,380
contig_25595,1852,104314,104
contig_25596,72,13835,611
contig_25597,370,44132,116
contig_25602,308,34517,1
contig_25609,225,25816,240
contig_25615,1039,177279,1321
contig_25625,2275,336991,132
contig_25635,650,75066,157
contig_25638,686,44349,37
contig_25645,359,41127,1079
contig_25665,370,25290,24
contig_25666,522,52684,398
contig_2567,1184,150328,53
contig_25670,1786,129567,507
contig_25673,1440,146697,93
contig_25676,300,43537,209
contig_25682,259,54199,89
contig_25690,427,56061,6362
contig_25692,11070,1330824,39
contig_25693,120,19572,33
contig_25695,61,13557,336
contig_25697,2125,219960,96
contig_25702,341,41918,101
contig_25705,294,32765,16
contig_2571,817,86287,14
contig_25711,551,85225,217
contig_25713,544,62505,18
contig_2572,414,52264,24
contig_25728,121,20350,18
contig_25731,415,42366,20
contig_25737,554,56107,550
contig_25739,3819,419919,50
contig_25741,176,26341,1195
contig_25742,2663,375148,51
contig_25743,315,44484,506
contig_25752,207,30444,98
contig_25755,367,56060,43
contig_25757,732,80707,61
contig_25758,997,120211,1921
contig_25762,5403,493203,19
contig_25764,215,30700,20
contig_25779,117,14053,112
contig_25782,1341,142312,24
contig_25784,555,54333,4
contig_25788,267,19937,17
contig_25792,733,86171,950
contig_25797,3867,386171,19893
contig_25800,82,46564,1157
contig_25804,274,33553,39
contig_25812,404,60707,15
contig_25816,1285,104831,28
contig_25821,124,42320,4
contig_25823,85,7173,267
contig_25826,2906,337092,21
contig_25830,123,15491,87
contig_25832,735,98011,2607
contig_25835,1449,173206,353
contig_25839,325,38414,68
contig_25849,454,45961,118
contig_25851,1035,154193,132
contig_25852,542,87548,110
contig_25857,1988,151218,122
contig_2586,301,60767,657
contig_25883,2923,241499,19
contig_25884,218,17648,776
contig_25887,110,13857,23
contig_25888,182,14562,101
contig_25898,182,10055,203
contig_25899,5063,261194,770
contig_2590,3474,188331,11
contig_25900,360,42566,69
contig_25909,646,92012,1881
contig_25914,431,93485,114
contig_25918,524,82552,42
contig_25919,281,48562,36980
contig_2592,14786,1770668,965
contig_25920,1216,197591,639
contig_25922,532,37214,236
contig_25931,1211,116803,202
contig_25933,3297,374885,62196
contig_25934,16582,1726101,55
contig_25938,126,14365,15
contig_25945,3126,278885,132
contig_25951,453,52840,116
contig_25952,428,66993,89
contig_25956,572,70965,32
contig_25967,103,14481,170
contig_25970,1087,156552,156
contig_25981,1671,219605,5
contig_25993,132,18581,83
contig_25998,293,33432,68
contig_26006,255,27871,50
contig_26007,37,12627,651
contig_26013,327,34031,428
contig_26039,2899,260880,60
contig_26040,127,17723,311
contig_26043,743,65144,95
contig_26045,1474,132394,131
contig_26052,359,32143,110
contig_26055,710,87947,20082
contig_2606,4223,922546,43
contig_26060,295,28902,532
contig_26062,937,77378,109
contig_26074,482,50482,1515
contig_26076,1784,390132,95
contig_26080,367,20192,240
contig_2609,1637,255882,148
contig_26091,463,53744,194
contig_26094,1204,133967,350
contig_26099,210,18897,16
contig_2610,359,58359,231
contig_26102,2080,230021,291
contig_26106,1343,150115,16
contig_26110,341,29481,149
contig_26112,1170,126135,137
contig_26113,809,89656,779
contig_26115,4015,469153,561
contig_26118,588,34656,1876
contig_2612,14389,1398550,119
contig_26122,426,65947,25
contig_26124,339,37713,170
contig_2613,506,68871,78
contig_26130,381,50055,91
contig_2614,954,274440,82
contig_26146,110,11410,484
contig_2615,3279,457094,149
contig_26154,693,72905,3875
contig_26156,4819,679783,80
contig_2616,255,40295,12633
contig_2617,10379,977810,44
contig_26172,3130,213682,67
contig_26175,594,52492,57
contig_26176,253,56198,148
contig_2618,644,84485,329
